PassengerId,Survived,Pclass,Age,Fare,Sex,Embarked
140,0,2,33.9,67.27,male,
141,1,3,1.1,50.4,male,Q
142,0,1,9.9,335.41,female,S
143,0,1,69.2,329.48,female,
144,0,2,1.1,333.14,male,Q
145,1,2,41.1,14.78,female,Q
146,1,2,39.7,166.64,male,Q
147,0,1,27.3,102.92,female,
148,0,3,35.1,390.18,female,Q
149,1,2,,431.01,male,Q
150,0,1,67.5,127.11,male,Q
151,1,3,,335.59,female,C
152,0,3,26.5,69.03,male,Q
153,1,2,20.2,141.2,male,C
154,0,1,38.9,73.63,male,C
155,0,2,,145.34,female,S
156,1,2,19.0,338.99,male,C
157,0,1,27.1,455.61,female,S
158,1,2,74.5,105.25,female,
159,1,3,4.8,273.33,male,S
160,1,1,37.4,352.19,female,Q
161,1,3,57.2,476.7,female,C
162,1,1,12.9,306.98,male,
163,0,3,4.7,131.28,female,
164,0,2,11.9,314.61,male,S
165,0,1,73.6,163.64,male,C
166,1,3,1.7,488.18,male,C
167,0,1,15.9,202.84,female,Q
168,0,2,3.5,344.29,female,C
169,0,1,9.7,16.5,male,
170,0,3,50.0,203.03,female,C
171,0,3,20.1,438.18,female,Q
172,0,3,46.0,307.06,female,
173,1,2,47.6,224.75,female,
174,1,2,68.1,468.29,male,C
175,1,2,1.4,427.72,female,Q
176,0,3,68.4,164.5,male,S
177,1,3,49.9,274.55,male,S
178,0,1,13.9,247.46,male,
179,1,2,62.1,317.94,female,
180,1,1,68.6,170.39,female,
181,1,1,21.1,125.88,male,C
182,0,3,73.6,456.77,male,C
183,0,1,36.9,462.32,male,S
184,1,3,48.7,422.44,female,C
185,0,2,,489.21,male,Q
186,0,1,29.6,373.77,female,C
187,0,2,65.2,383.51,male,
188,0,2,26.2,382.48,male,C
189,0,3,64.1,242.9,female,C
190,0,2,48.5,230.94,male,C
191,1,3,18.1,123.91,male,C
192,1,3,33.7,324.19,male,S
193,1,3,26.1,148.21,female,Q
194,0,2,7.2,132.62,male,
195,1,1,3.4,295.05,male,Q
196,0,2,28.4,207.94,male,S
197,0,1,2.5,113.33,female,S
198,0,2,14.1,408.95,female,S
199,0,3,58.3,430.98,female,
200,1,2,56.9,88.01,male,C
201,0,1,59.3,8.72,female,S
202,1,2,26.1,171.38,male,
203,0,3,71.3,399.77,female,
204,1,3,47.9,420.39,female,S
205,0,1,11.0,73.47,female,S
206,0,2,12.4,388.3,female,
207,1,2,55.8,62.27,female,S
208,1,1,14.7,198.08,male,
209,0,1,41.1,499.31,female,C
210,1,1,79.4,100.33,female,Q
211,0,3,,81.21,female,C
212,1,3,2.3,214.29,female,C
213,1,3,,311.74,male,Q
214,0,3,47.2,466.79,female,C
215,1,3,11.0,490.51,male,Q
216,0,1,71.9,39.47,female,Q
217,0,3,70.6,73.31,female,S
218,0,1,43.4,396.42,male,
219,0,2,,138.96,female,
220,1,2,22.6,443.0,female,Q
221,0,2,5.0,333.41,female,Q
222,0,1,48.0,60.36,male,
223,1,1,24.3,417.1,male,C
224,0,3,53.4,92.3,female,S
225,1,1,67.1,214.63,female,Q
226,0,1,2.4,278.33,female,C
227,1,3,48.1,252.88,female,S
228,1,1,19.3,344.65,male,Q
229,1,3,70.0,328.08,female,C
230,0,3,21.0,496.06,male,S
231,0,2,49.3,499.71,female,C
232,1,1,44.7,260.65,female,S
233,0,1,32.3,52.12,female,C
234,1,1,54.5,365.28,female,Q
235,0,2,,488.45,male,
236,1,1,45.8,162.57,male,C
237,1,2,60.9,233.3,male,
238,0,1,78.7,215.26,female,S
239,0,2,34.1,30.45,male,
240,1,1,41.7,337.77,female,C
241,0,3,2.0,179.9,male,S
242,1,1,63.9,394.79,male,
243,0,1,42.1,416.9,male,
244,1,1,33.2,411.51,male,C
245,1,3,8.4,211.25,male,
246,0,1,71.3,164.17,male,C
247,1,2,32.2,375.67,female,S
248,0,2,,401.69,female,Q
249,1,2,12.8,248.17,female,S
250,0,3,77.0,447.05,male,S
251,0,3,15.1,76.23,female,C
252,0,2,16.8,440.14,female,S
253,0,3,68.9,52.57,female,
254,0,1,73.1,81.0,male,Q
255,1,3,,269.25,female,Q
256,0,2,38.1,38.42,female,
257,1,3,58.9,31.14,male,C
258,0,3,70.4,5.26,male,Q
259,0,3,30.9,220.98,female,S
260,1,3,41.8,388.44,male,Q
261,1,2,,22.24,male,
262,0,1,58.8,327.87,female,Q
263,0,2,62.9,412.45,male,
264,1,1,46.0,88.16,male,C
265,1,3,9.3,77.7,male,S
266,1,1,72.4,431.1,female,S
267,0,1,69.4,412.45,male,C
268,0,1,,271.78,female,C
269,1,2,8.9,410.5,male,S
270,1,2,17.1,50.91,female,S
271,0,3,59.7,200.27,female,S
272,0,2,2.8,370.21,female,C
273,0,1,78.4,132.44,female,S
274,1,1,30.8,377.4,male,
275,0,1,57.8,254.57,female,C
276,0,2,71.1,376.38,female,Q
277,0,3,32.2,235.02,female,Q
278,1,2,26.2,187.11,female,
279,0,3,49.1,113.5,female,Q
280,0,1,46.9,108.15,male,Q
281,0,1,33.3,376.99,male,S
282,0,3,48.5,63.86,male,C
283,1,1,74.9,47.56,male,
284,0,1,37.9,92.26,female,
285,0,2,16.5,91.8,female,S
286,1,3,30.8,412.44,male,S
287,0,3,32.1,202.26,male,S
288,1,1,11.4,495.24,female,
289,1,3,13.9,72.92,female,
290,0,3,,328.5,female,Q
291,1,3,27.8,227.12,female,Q
292,0,3,76.4,199.49,female,S
293,1,1,20.2,438.17,female,C
294,0,3,8.8,487.92,male,
295,1,1,,437.07,female,
296,1,3,70.6,100.19,male,S
297,1,2,23.0,114.29,male,Q
298,0,3,17.0,329.76,male,Q
299,0,2,15.7,148.1,male,Q
300,0,2,42.2,368.69,male,S
