Id,LotArea,YearBuilt,OverallQual,GrLivArea,BedroomAbvGr,Neighborhood,SalePrice
115,9204,1973,8,1561,4,Crawfor,324416
116,11464,1950,3,1081,2,Veenker,94405
117,13683,1975,4,1520,5,Veenker,95564
118,13930,2007,3,1119,3,Crawfor,152873
119,3402,1911,7,1236,5,Crawfor,347043
120,17741,1934,3,2937,1,NoRidge,239315
121,13601,1963,7,1051,4,Crawfor,391989
122,19980,1996,6,761,3,NoRidge,356815
123,11015,1973,8,2443,3,NoRidge,248643
124,13429,1947,10,1574,2,CollgCr,290877
125,10498,1975,1,2146,5,Veenker,172540
126,18126,2020,10,1075,2,Veenker,90738
127,17150,1959,2,1313,5,CollgCr,195570
128,18446,2008,6,2099,3,CollgCr,261373
129,11572,1995,4,2946,1,NoRidge,121945
130,16454,1937,7,2008,5,Veenker,135390
131,9099,1930,8,2441,1,CollgCr,65098
132,10835,1994,9,2374,2,Veenker,309565
133,15923,1925,5,1514,5,Veenker,365805
134,4379,1941,10,1550,5,CollgCr,341329
135,15078,1928,4,2047,5,CollgCr,189198
136,3268,1974,3,708,3,NoRidge,261775
137,12871,1936,4,2930,4,NoRidge,386673
138,11112,1980,6,2688,2,Veenker,261063
139,10967,2014,7,1640,4,Crawfor,160601
140,11403,2002,9,1870,3,NoRidge,175121
141,11362,2016,3,1717,1,NoRidge,307224
142,9925,1903,4,2814,3,CollgCr,211725
143,10673,1956,10,3183,3,NoRidge,344683
144,12658,1927,5,969,2,CollgCr,353796
145,15978,2012,3,2005,2,CollgCr,72183
146,12386,1987,10,646,3,Veenker,305928
147,13922,1939,5,2137,1,Crawfor,185786
148,17222,1969,10,1444,1,CollgCr,236716
149,19821,1974,10,1741,4,Veenker,150029
150,4847,1960,10,2152,2,Veenker,185199
151,15119,1958,6,1700,4,Veenker,172329
152,6828,1906,8,1939,3,NoRidge,77129
153,6345,1955,10,3200,3,Veenker,326142
154,16481,1942,3,3355,3,CollgCr,108622
155,4167,2000,1,619,3,CollgCr,187771
156,17413,2006,4,1884,5,CollgCr,125628
157,16099,1992,7,3479,5,CollgCr,114607
158,19912,1903,6,2403,2,Crawfor,186950
159,14355,2003,1,1297,4,Veenker,372380
160,17839,1948,6,2617,5,Veenker,381008
161,5015,1951,2,1092,1,NoRidge,189778
162,18128,2016,6,674,4,Crawfor,231752
163,5725,2006,6,2750,3,CollgCr,395137
164,8343,1906,7,2351,5,Veenker,139845
165,5179,1944,5,3172,3,Veenker,381200
166,9828,1992,5,1772,5,NoRidge,95955
167,15732,1966,7,3504,1,Veenker,136790
168,7557,1931,8,2032,1,CollgCr,175023
169,16977,1964,9,3109,5,Crawfor,72608
170,13307,2006,4,940,3,Veenker,337348
171,13691,1927,5,930,3,CollgCr,350841
172,18959,1991,4,3261,1,Crawfor,190336
173,10341,1990,6,3435,2,CollgCr,344371
174,8858,2008,2,3804,5,NoRidge,322651
175,19907,1936,5,1703,2,NoRidge,332477
176,12469,1926,2,675,3,Veenker,332919
177,13448,1967,6,3931,2,Crawfor,254983
178,8037,1965,9,2644,2,Crawfor,97679
179,6662,1950,10,1440,1,Crawfor,373985
180,5886,1995,5,3197,5,CollgCr,266944
181,6800,1998,1,3673,5,Veenker,366429
182,6318,1930,3,1568,1,CollgCr,386092
183,15694,1997,2,3216,2,Crawfor,123635
184,3985,1928,8,3277,3,CollgCr,196726
185,13699,1950,10,2305,2,Crawfor,125447
186,19137,1903,6,2750,4,Crawfor,77320
187,16014,1941,2,1516,2,NoRidge,388578
188,9848,2017,1,3759,1,Veenker,373922
189,4009,1954,10,3942,2,CollgCr,376792
190,17180,1987,4,3935,3,Crawfor,360446
191,3053,1913,2,3106,1,CollgCr,280583
192,14582,1978,2,743,5,CollgCr,237528
193,14406,1945,3,1845,1,NoRidge,397101
194,6262,1991,7,2112,1,NoRidge,247766
195,15577,2014,9,3863,3,Crawfor,278426
196,5982,1965,3,2459,3,NoRidge,131991
197,6836,1912,7,2422,2,CollgCr,313880
198,16803,1958,1,1098,2,CollgCr,338613
199,19645,1915,1,3298,1,Veenker,290699
200,7500,1955,1,1743,4,CollgCr,229524
201,18662,1907,10,912,2,NoRidge,127275
202,18525,1978,6,3958,1,CollgCr,71518
203,16079,1938,9,1246,2,Crawfor,273285
204,5380,1924,1,655,5,NoRidge,292225
205,8090,1902,1,864,2,Crawfor,322689
206,14521,2009,9,2138,5,CollgCr,383168
207,19986,2002,2,949,2,Veenker,229102
208,16846,1999,2,3465,1,Crawfor,341911
209,10144,1907,6,2342,2,NoRidge,303539
210,6999,1942,7,1701,2,Veenker,154247
211,19325,2019,3,610,1,Veenker,347341
212,7695,1971,5,2231,3,NoRidge,78130
213,8817,1915,7,1114,2,NoRidge,263622
214,19396,1917,5,3925,4,Veenker,379719
215,12548,1932,4,1589,3,CollgCr,284047
216,7498,2019,1,2214,3,Crawfor,378601
217,3090,1920,5,663,3,NoRidge,79093
218,10309,2011,9,1045,1,NoRidge,241021
219,19762,1983,7,1305,4,Veenker,325408
220,10352,2013,9,775,1,CollgCr,278387
221,14891,2001,2,3068,4,Crawfor,359382
222,7301,1940,1,3814,5,NoRidge,217284
223,16185,2001,6,3950,4,NoRidge,292085
224,16188,1920,2,1503,3,CollgCr,202720
225,13341,1935,6,3281,2,Veenker,356520
226,16121,1926,10,2313,5,Veenker,100612
227,12839,1916,4,755,2,CollgCr,146400
228,9431,1911,6,908,3,NoRidge,92895
229,15543,1923,7,2462,4,CollgCr,298714
230,17197,1914,2,2040,5,Crawfor,139128
231,17298,1946,9,628,5,NoRidge,167826
232,6622,1908,3,3762,1,Crawfor,344457
233,14502,1907,9,3083,5,NoRidge,182462
234,3073,2021,7,2308,1,Veenker,109582
235,12723,1910,2,3955,3,NoRidge,67129
236,12709,1909,8,3901,5,Veenker,137077
237,9179,1903,2,3911,4,CollgCr,370993
238,19899,1916,6,1480,5,Veenker,246528
239,18010,1964,10,3595,2,Veenker,398243
240,3656,2001,10,2315,2,Crawfor,133144
241,6550,1990,9,3068,2,Veenker,179502
242,6535,1971,5,3522,2,Veenker,115490
243,18258,1910,6,1155,4,Veenker,195449
244,11821,1995,4,2124,3,Veenker,251527
245,15390,1904,10,1038,4,Crawfor,334763
246,16768,1977,5,1550,3,Veenker,185151
247,16049,1950,8,2005,2,NoRidge,322320
248,4513,2008,4,3508,1,Veenker,272894
249,5385,1937,8,3533,3,NoRidge,159216
250,9718,1978,3,1925,5,Veenker,370149
251,8752,1954,8,1719,5,CollgCr,207643
252,15700,1964,1,2404,2,CollgCr,111337
253,5656,2015,2,3700,3,NoRidge,387317
254,9316,1987,4,3920,4,NoRidge,370567
255,7021,1950,5,1370,4,CollgCr,76844
256,6210,1955,8,1234,1,Crawfor,366846
257,5937,1986,4,3003,3,Crawfor,382108
258,6323,1942,1,1624,1,CollgCr,341889
259,12594,1920,4,1279,1,Veenker,146698
260,9970,1957,5,705,4,Crawfor,274637
261,10399,1908,6,1970,1,NoRidge,243001
262,11150,1920,7,1932,2,NoRidge,270849
263,15598,1951,3,2514,3,CollgCr,269590
264,17650,1997,7,1280,4,CollgCr,277332
265,11949,1996,7,3028,3,Veenker,234760
266,13918,1932,8,2912,1,CollgCr,294768
267,15555,1951,6,2171,4,Crawfor,239046
268,14736,1918,9,1216,5,CollgCr,65603
269,5282,1992,3,2323,5,CollgCr,71995
270,19710,1930,8,2894,4,CollgCr,385751
271,5801,1998,1,1867,3,Veenker,369145
272,10001,2003,2,1495,5,NoRidge,259105
273,14094,1984,9,2322,3,CollgCr,119360
274,9857,1940,5,1807,1,NoRidge,325698
275,7133,2017,7,1961,5,Veenker,108718
276,18696,1984,7,1786,2,CollgCr,188275
277,4216,1979,7,1631,5,Veenker,172152
278,7179,2005,3,3036,2,Crawfor,64215
279,19880,2008,2,2164,5,CollgCr,334383
280,15406,1909,1,2186,3,CollgCr,233309
281,4478,2008,9,2820,3,NoRidge,167525
282,15827,1994,3,1828,2,Crawfor,232444
283,19481,1925,6,943,5,Veenker,60000
284,4662,1937,5,3498,1,NoRidge,208576
285,10038,1992,2,789,3,NoRidge,236657
286,10959,1926,5,2544,2,Veenker,175503
287,5227,1955,1,1503,3,Crawfor,342329
288,6409,1984,2,1327,2,CollgCr,144940
289,5953,1980,2,742,4,Veenker,106860
290,6151,2011,9,3660,2,Crawfor,239365
291,9859,1913,6,2059,1,CollgCr,361674
292,10885,1936,10,1765,1,NoRidge,187594
293,7045,2021,5,3120,4,NoRidge,75852
294,7920,1969,3,732,2,Veenker,389776
295,6268,1930,7,2519,2,Veenker,211061
296,16533,1935,10,2281,4,CollgCr,118795
297,6599,1941,6,2481,2,Crawfor,269309
298,18429,1968,1,1021,2,CollgCr,168686
299,12160,1934,4,3838,2,Veenker,378849
300,16646,1976,10,1410,2,Crawfor,159946
