CustomerID,Annual Income (k$),Spending Score (1-100),Age,Gender
175,91,72,55,Male
176,41,54,22,Male
177,46,58,65,Female
178,117,94,30,Female
179,62,46,52,Female
180,39,39,18,Female
181,104,54,26,Male
182,104,84,69,Female
183,118,71,61,Male
184,109,8,29,Female
185,138,46,24,Male
186,86,74,60,Female
187,50,23,69,Male
188,122,99,26,Female
189,48,81,52,Male
190,51,85,32,Male
191,118,9,56,Female
192,125,58,39,Male
193,57,53,24,Male
194,106,63,34,Male
195,130,86,46,Male
196,114,36,59,Male
197,15,54,19,Female
198,98,68,67,Male
199,36,76,51,Male
200,120,78,63,Male
201,23,34,66,Female
202,139,100,25,Female
203,37,1,22,Male
204,67,50,58,Male
205,44,61,27,Male
206,116,7,25,Female
207,64,46,42,Female
208,108,60,65,Female
209,23,61,59,Male
210,71,12,44,Female
211,128,28,28,Male
212,130,25,35,Female
213,41,64,53,Female
214,64,33,26,Male
215,66,58,45,Female
216,85,74,18,Female
217,82,80,34,Male
218,28,19,30,Male
219,110,91,53,Male
220,43,17,65,Female
221,54,3,25,Male
222,120,5,59,Male
223,101,21,52,Female
224,64,88,68,Male
225,129,21,65,Male
226,64,70,23,Female
227,85,42,56,Female
228,45,4,48,Female
229,37,45,23,Male
230,76,3,31,Male
231,85,48,66,Male
232,115,56,46,Female
233,63,53,35,Male
234,126,29,34,Male
235,90,77,61,Female
236,23,60,32,Female
237,107,26,26,Female
238,86,44,47,Male
239,63,11,69,Female
240,73,93,27,Male
241,52,76,31,Female
242,91,29,42,Male
243,85,68,28,Female
244,70,68,51,Male
245,50,61,31,Female
246,64,6,24,Male
247,77,88,31,Female
248,73,96,66,Male
249,53,98,66,Male
250,87,99,44,Male
251,43,93,38,Female
252,77,74,60,Male
253,30,6,28,Male
254,74,47,52,Female
255,112,25,53,Male
256,117,22,54,Male
257,101,84,29,Female
258,108,82,55,Female
259,23,53,49,Female
260,57,74,63,Female
261,96,13,27,Male
262,115,23,49,Male
263,87,87,61,Male
264,121,46,32,Female
265,49,55,56,Female
266,34,47,23,Male
267,25,21,55,Female
268,87,83,49,Male
269,98,76,28,Male
270,50,69,21,Female
271,112,36,56,Female
272,107,65,30,Female
273,60,96,43,Female
274,44,65,21,Female
275,107,50,68,Female
276,98,28,46,Male
277,36,53,66,Male
278,46,38,26,Female
279,75,62,28,Male
280,78,5,49,Male
281,35,20,49,Male
282,133,79,59,Male
283,63,39,66,Female
284,62,44,60,Male
285,22,55,25,Male
286,124,44,34,Female
287,44,76,65,Male
288,138,25,46,Male
289,77,76,63,Male
290,124,21,47,Female
291,37,38,20,Male
292,35,59,42,Female
293,115,89,60,Male
294,117,24,52,Female
295,82,59,24,Male
296,19,7,28,Female
297,132,8,62,Male
298,64,77,68,Female
299,131,72,57,Male
300,123,38,23,Male
